Date,open,high,low,close,volume,dividends,stock splits
1984-08-31,19.625,19.875,19.375,19.6875,490000.0,0.0,0.0
1984-09-04,19.5,19.5625,19.125,19.4375,377600.0,0.0,0.0
1984-09-05,19.3125,19.625,19.1875,19.5625,356400.0,0.0,0.0
1984-09-06,19.6875,19.875,19.625,19.75,456400.0,0.0,0.0
1984-09-07,19.6875,19.75,18.6875,19.0625,713400.0,0.0,0.0
1984-09-10,18.8125,19.1875,18.3125,19.0,1387200.0,0.0,0.0
1984-09-11,19.3125,19.6875,19.1875,19.375,836800.0,0.0,0.0
1984-09-12,19.3125,19.4375,18.5,18.75,843800.0,0.0,0.0
1984-09-13,18.6875,19.4375,18.0,19.4375,2306000.0,0.0,0.0
1984-09-14,19.75,20.0,19.5,19.75,1400800.0,0.0,0.0
1984-09-17,19.6875,20.1875,19.6875,20.125,689800.0,0.0,0.0
1984-09-18,19.875,19.875,19.5,19.625,890600.0,0.0,0.0
1984-09-19,19.5625,19.5625,18.1875,18.5,1194800.0,0.0,0.0
1984-09-20,18.5,18.8125,18.25,18.75,1439000.0,0.0,0.0
1984-09-21,18.75,19.125,18.5625,18.625,987800.0,0.0,0.0
1984-09-24,18.5625,18.6875,18.3125,18.3125,560200.0,0.0,0.0
1984-09-25,18.375,18.375,18.125,18.3125,488400.0,0.0,0.0
1984-09-26,18.375,18.5625,17.75,17.875,935800.0,0.0,0.0
1984-09-27,17.25,17.6875,17.1875,17.5625,2224000.0,0.0,0.0
1984-09-28,17.4375,17.75,17.25,17.375,728000.0,0.0,0.0
1984-10-01,17.125,17.25,16.75,16.8125,468000.0,0.0,0.0
1984-10-02,16.8125,17.1875,16.5,16.5,830600.0,0.0,0.0
1984-10-03,16.5,17.375,16.1875,17.25,1493400.0,0.0,0.0
1984-10-04,17.25,17.6875,17.125,17.3125,792400.0,0.0,0.0
1984-10-05,17.125,17.25,16.5,16.5625,1550600.0,0.0,0.0
1984-10-08,16.5625,16.625,16.0,16.25,1114200.0,0.0,0.0
1984-10-09,16.6875,16.6875,16.3125,16.5,1021400.0,0.0,0.0
1984-10-10,16.6875,17.875,16.5,17.8125,1532200.0,0.0,0.0
1984-10-11,17.625,17.625,17.0,17.1875,1738800.0,0.0,0.0
1984-10-12,17.1875,17.625,17.1875,17.375,1025400.0,0.0,0.0
1984-10-15,17.375,17.9375,17.375,17.8125,888200.0,0.0,0.0
1984-10-16,17.8125,17.8125,17.4375,17.5,562200.0,0.0,0.0
1984-10-17,17.375,17.4375,17.125,17.3125,724400.0,0.0,0.0
1984-10-18,17.3125,18.3125,17.3125,18.3125,1431600.0,0.0,0.0
1984-10-19,18.6875,18.6875,17.875,18.0625,1599000.0,0.0,0.0
1984-10-22,18.0,18.25,17.6875,17.75,497600.0,0.0,0.0
1984-10-23,17.9375,18.375,17.875,18.3125,828000.0,0.0,0.0
1984-10-24,18.25,18.4375,17.625,17.75,1363000.0,0.0,0.0
1984-10-25,17.625,17.625,16.4375,16.5625,2358000.0,0.0,0.0
1984-10-26,15.5,15.75,15.3125,15.5625,3148000.0,0.0,0.0
